date,initial_ec,initial_ph,initial_nutrient_solution_volume,final_ec,final_ph,final_nutrient_solution_volume,pH_down_mL,pH_up_mL,nutrient_mature_gallons,nutrient_immature_gallons,water_gallons
2023-03-02,2630.0,6.48,3.5,,,6.0,0.0,0.0,0.0,2.5,0.0
2023-03-03,2690.0,6.16,4.5,,,6.5,0.0,0.0,0.0,2.0,0.0
2023-03-04,2814.0,6.305,4.25,,,,0.0,0.0,0.0,0.0,0.0
2023-03-05,2938.0,6.45,4.0,,,6.0,5.0,0.0,0.0,2.0,0.0
2023-03-06,2860.0,6.28,4.25,,,,3.0,0.0,0.0,0.0,1.0
2023-03-07,2798.0,6.21,4.5,,,6.0,6.0,0.0,0.0,0.0,1.5
2023-03-08,2414.0,6.12,5.0,,unmeasuered,,0.0,0.0,0.0,1.0,0.0
2023-03-09,2545.0,6.2,5.0,,6.2,6.0,0.0,0.0,0.75,0.0,0.25
2023-03-10,2710.0,6.2,5.0,,,,0.0,0.0,0.0,0.0,1.5
2023-03-11,2340.0,7.5,5.0,,,,7.0,0.0,0.0,1.0,0.0
2023-03-12,2557.0,6.04,4.8,,,5.8,0.0,0.0,0.0,1.0,0.0
2023-03-13,2678.0,6.08,5.0,,,,0.0,0.0,0.0,0.0,1.5
2023-03-14,2229.0,6.12,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2023-03-14,2357.0,6.2,6.0,,,,0.0,0.0,0.0,0.0,0.0
2023-03-15,2333.0,6.13,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2023-03-16,2662.0,6.378,5.0,,,,0.0,0.0,0.0,1.0,0.0
2023-03-17,2739.0,6.15,5.0,,unmreeasured,6.0,0.0,0.0,0.0,1.0,0.0
2023-03-18,3035.5,6.0600000000000005,4.0,,,,0.0,0.0,0.0,0.0,0.0
2023-03-19,3332.0,5.97,3.0,unmeassured,unmreeasured,3.0,0.0,2.0,0.0,1.5,1.5
2023-03-20,2654.0,6.305,4.5,,,,0.0,0.0,0.0,1.5,0.0
2023-03-21,2414.0,6.32,5.0,,,,0.0,0.0,0.0,1.0,0.0
2023-03-22,2615.0,6.29,5.0,,,,0.0,0.0,0.0,0.0,1.0
2023-03-23,2607.5,6.32,4.5,,,,0.0,0.0,0.0,0.0,0.0
2023-03-24,2600.0,6.35,4.0,,,,0.0,0.0,0.0,2.0,0.0
2023-03-25,2895.0,6.34,4.0,,,6.0,0.0,0.0,0.0,0.0,2.0
2023-03-26,2279.0,6.33,5.0,2279,6.33,5.0,0.0,0.0,0.0,0.0,0.0
2023-03-27,2798.0,6.404,4.0,,,6.5,3.0,0.0,0.0,2.5,0.0
2023-03-28,2918.0,6.478,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2023-03-29,2871.0,6.5520000000000005,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2023-03-30,2749.0,6.626,5.25,,,,0.0,0.0,0.0,0.0,0.0
2023-03-31,2346.0,6.7,5.5,,,5.5,3.0,0.0,0.0,0.0,0.0
2023-04-01,2703.0,6.62,4.0,,,6.0,3.0,0.0,0.0,0.0,2.0
2023-04-02,2375.0,6.54,4.8,,,6.0,4.0,0.0,0.0,0.5,0.5
2023-04-03,2498.0,6.3,4.0,,unmesured,6.0,0.0,0.0,0.0,2.0,0.0
2023-04-04,2502.0,6.0,5.5,,,6.0,0.0,0.0,0.0,0.25,0.25
2023-04-05,2646.0,6.05,5.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-06,2556.0,6.1,5.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-07,2527.0,6.53,5.0,,,6.0,3.0,0.0,0.0,0.0,1.0
2023-04-08,2539.0,6.6,4.0,,,6.0,3.0,0.0,0.0,2.0,0.0
2023-04-09,2562.0,6.1,5.5,,,6.25,2.0,0.0,0.0,0.0,0.75
2023-04-10,2522.0,6.05,5.25,,,,0.0,0.0,0.0,0.0,1.0
2023-04-11,2431.0,6.0,5.0,,,,0.0,0.0,0.0,0.0,1.0
2023-04-12,2373.0,6.05,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2023-04-13,2587.0,6.1,4.0,,,,,0.0,0.0,0.0,0.0
2023-04-14,2113.0,6.63,5.0,,,6.0,2.0,0.0,0.0,1.0,0.0
2023-04-15,2305.0,6.2,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2023-04-16,2596.0,6.27,4.75,,,5.75,3.0,0.0,0.0,0.0,1.0
2023-04-17,2288.0,6.22,4.0,,,,6.0,0.0,0.0,1.0,1.0
2023-04-18,2120.0,6.07,5.0,,,,0.0,0.0,0.5,0.5,0.0
2023-04-19,2197.0,5.9,5.0,,,6.0,0.0,2.0,0.5,0.5,0.0
2023-04-20,2448.0,6.1215,4.0,,,,0.0,0.0,0.0,0.0,2.0
2023-04-21,2016.0,6.343,5.5,,,6.0,2.0,0.0,0.5,0.0,0.0
2023-04-22,2227.0,5.95,5.0,,,6.0,0.0,1.0,0.5,0.5,0.0
2023-04-23,2252.0,6.1,5.0,,,6.0,5.0,0.0,0.5,0.5,0.0
2023-04-24,2395.0,5.86,5.0,,,,0.0,2.0,0.0,1.0,0.0
2023-04-25,2644.0,5.84,5.0,,,6.0,1.0,0.0,0.0,0.0,0.0
2023-04-26,2553.0,5.92,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2023-04-27,2535.0,6.055,4.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,2200.0,6.19,4.5,,,,0.0,0.0,0.0,0.0,1.0
2023-04-29,2270.0,6.22,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2023-04-30,2306.0,6.04,4.5,,,6.0,0.0,0.0,0.0,0.0,1.5
2023-05-01,2182.0,6.02,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2023-05-02,2250.0,5.94,4.5,,,,0.0,0.0,0.0,0.0,0.0
2023-05-03,1813.0,6.5,6.0,1813,6.5,6.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,1676.0,6.69,6.0,,,,0.0,0.0,0.0,0.0,0.0
