Date,Initial EC,Initial pH,Initial Nutrient Solution Volume,Final EC,Final pH,Final Nutrient Solution Volume,Comments,Type of pH Adjustment,Amount of pH Adjustment Used,Type of EC Adjustment,Amount of EC Adjustment Used
3/5,2938,6.45,4,unmeasured,unmeasured,6,,pH Down,5mL,"Immature, No Water",2 gal
3/6,2860,6.28,,,,,,pH Down,3 mL,Water,1 gal
3/7,2798,6.21,4.5,unmeasured,unmeasured,6,,pH Down,6mL,Water,1.5 gal
3/8,2414,6.12,5,unmeasured,unmeasuered,,,,,"Immature, No Water",1 gal
3/9,2545,6.2,5,unmeasured,6.2,6,,,,"3/4 Mature, 1/4 Water",1 gal
3/10,2710,6.2,5,,,,,,,Water,1.5 gal
3/11,2340,7.5,5,,,,,pH Down,7 mL,"Immature, No Water",1 gal
3/12,2557,6.04,4.8,unmeasured,unmeasured,5.8,,,,"Immature, No Water",1 gal
3/13,2678,6.08,5,,,,,,,Water,1.5 gal
3/14,2229,6.12,5,unmeasured,unmeasured,6,,,,"Immature, No Water",1 gal
3/14,2357,6.2,6,,,,,,,,
3/15,2333,6.13,5,unmeasured,unmeasured,6,,,,"Immature, No Water",1 gal
3/16,2662,6.378,5,unmeasured,unmeasured,,,,,"Immature, No Water",1 gal
3/17,2739,6.15,5,unmeasured,unmreeasured,6,,,,"Immature, No Water",1 gal
3/18,,,,,,,,,,,
3/19,3332,5.97,3,unmeassured,unmreeasured,3,,pH Up,2 mL,"1/2 Immature, 1/2 Water",3 gal
3/20,2654,6.305,4.5,,,,,,,"Immature, No Water",1.5 gal
3/21,2414,6.32,5,,,,,,,"Immature, No Water",1 gal
3/22,2615,6.29,5,,,,,,,Water,1 gal
3/23,,,,,,,,,,,
3/24,2600,6.35,4,,,,,,,"Immature, No Water",2 gal
3/25,2895,6.34,4,,,6,,,,Water,2 gal
3/26,2279,6.33,5,2279,6.33,5,,,,,
3/27,2798,unknown,4,,,6.5,,pH Down,3 mL,"Immature, No Water",2.5 gal
3/28,2918,unknown,5,unmeasured,unmeasured,6,"Do your best with adjusting, added water for EC and nothing for pH predicting that it might be on low/on point due to the Immature being 6.08 and the 3mL of pH down added  from (3/27)",,,Water,1 gal
3/29,2871,unknown,5,unmeasured,unmeasured,6,,,,Water,1 gal
3/30,2749,,,unmeasured,unmeasured,,,,,,
3/31,2346,6.7,5.5,unmeasured,unmeasured,5.5,,pH Down,3ml,,
4/1,2703,,4,,,6,,pH Down,3ml,Water,2 gal
4/2,2375,6.54,4.8,unmeasured,unmeasured,6,,pH Down,4mL,"1/2 Water, 1/2 Immature",1 gal
4/3,2498,6.3,4,unmeasured,unmesured,6,,,,"Immature, No Water",2 gal
4/4,2502,6,5.5,unmeasured,unmeasured,6,,,,"1/2 Immature, 1/2 Water",0.5 gal
4/5,2646,unknown,5,,,,,,,"1/2 immature, 1/2 water",
4/6,2556,6.1,,,,,,,,,
4/7,2527,6.53,5,,,6,,pH Down,3 mL,Water,1 gal
4/8,2539,6.6,4,unmeasured,unmeasured,6,,pH Down,3 mL,"Immature, No Water",2 gal
4/9,2562,6.1,5.5,unmeasured,unmeasured,6.25,,pH Down,2 mL,Water,0.75 gal
4/10,2522,,,,,,,,,Water,1 gal
4/11,2431,6,5,,,,,,,Water,1 gal
4/12,2373,,5,unmeasured,unmeasured,6,,,,"Immature, No Water",1 gal
4/13,2587,6.1,4,,,,,pH Down,,Water,
4/14,2113,6.63,5,,,6,,pH Down,2 mL,"Immature, No Water",1 gal
4/15,2305,6.2,5,unmeasured,unmeasured,6,,,,Water,1 gal
4/16,2596,6.27,4.75,unmeasured,unmeasured,5.75,,pH Down,3mL,Water,1 gal
4/17,2288,6.22,4,unmeasured,unmeasured,,,pH Down,6 mL,"1/2 Immature, 1/2 Water",2 gal
4/18,2120,6.07,5,,,,,,,"1/2 Immature, 1/2 Mature",1 gal
4/19,2197,5.9,5,unmeasured,unmeasured,6,,pH Up,2mL,"1/2 Immature, 1/2 Mature",1 gal
4/20,2448,unmeasured,4,unmeasured,unmeasured,,,,,Water,2 gal
4/21,2016,6.343,5.5,,,6,,pH Down,2mL,"Mature, No Water",0.5 gal
4/22,2227,5.95,5,unmeasured,unmeasured,6,,pH Up,1mL,"1/2 Immature, 1/2 Mature",1 gal
4/23,2252,6.1,5,unmeasured,unmeasured,6,,pH Down,5 mL,"1/2 Immature, 1/2 Mature",1 gal
4/24,2395,5.86,5,,,,,pH Up,2 mL,"Immature, No Water",1 gal
4/25,2644,5.84,5,,,6,,pH Down,1 mL,,ADD WATER
4/26,2553,5.92,5,unmeasured,unmeasured,6,,,,Water,1 gal
4/27,2535,unmeasrured,4,unmeasured,unmeasured,6,,,,Water,ADD WATER
4/28,2200,6.19,,,,,,,,Water,1 gal
4/29,2270,6.22,5,unmeasured,,6,,,,Water,1 gal
4/30,2306,6.04,4.5,unmeasured,unmeasured,6,,,,Water,1.5 gal
5/1,2182,6.02,5,,,6,,,,Water,1 gal
5/2,2250,5.94,4.5,,,,changed nutrient solution to new solution,,,,
5/3,1813,6.5,6,1813,6.5,6,,,,,
5/4,1676,6.69,,,,,,,,,
