sim_initial_ec,sim_initial_ph,sim_initial_nutrient_solution_volume,date,initial_ec,initial_ph,initial_nutrient_solution_volume,final_ec,final_ph,final_nutrient_solution_volume,pH_down_mL,pH_up_mL,nutrient_mature_gallons,nutrient_immature_gallons,water_gallons
2449.3786646655926,6.576754329124472,5.198686935082673,2023-02-22,2397.0,6.73,5.0,,,5.0,3.0,0.0,0.0,0.0,0.0
2583.639765129438,6.551484492287413,4.2798418787331745,2023-02-23,2347.0,6.74,4.0,,,6.0,3.0,0.0,0.0,2.0,0.0
2665.577195350165,6.5782034156986455,4.414579989035806,2023-02-24,2490.0,7.1,4.0,,,6.0,4.0,0.0,0.0,1.5,0.0
2549.393836110027,6.257729592233322,5.059812414741915,2023-02-25,2497.0,6.845,4.0,,,,0.0,0.0,0.0,0.0,0.0
2526.550836109091,6.493720700520486,4.676108165337425,2023-02-26,2504.0,6.59,4.0,,,5.0,3.0,0.0,0.0,1.0,0.0
2340.7550410170224,6.677753504097245,4.676507475728193,2023-02-27,2346.0,6.69,4.0,,,6.0,6.0,0.0,1.0,1.0,0.0
2188.2120087238022,6.457617146761625,5.167777567639662,2023-02-28,1905.0,6.38,5.0,,,6.0,4.0,0.0,1.0,0.0,0.0
2290.894333487419,6.108672667922339,5.143416032617429,2023-03-01,2416.0,6.0,4.8,2416.0,6.0,4.8,0.0,0.0,0.0,0.0,0.0
2548.7766980465435,6.1621744892652135,4.0283042939901605,2023-03-02,2630.0,6.48,3.5,,,6.0,0.0,0.0,0.0,2.5,0.0
2728.2433637651934,6.220557169226753,4.236838527911219,2023-03-03,2690.0,6.16,4.5,,,6.5,0.0,0.0,0.0,2.0,0.0
2615.095867098145,6.266439330861978,5.131425650661355,2023-03-04,2814.0,6.305,4.25,,,,0.0,0.0,0.0,0.0,0.0
2656.9166291794418,6.682545321423051,4.28349279369397,2023-03-05,2938.0,6.45,4.0,,,6.0,5.0,0.0,0.0,2.0,0.0
2698.691473790852,6.42780846932688,4.671116432400409,2023-03-06,2860.0,6.28,4.25,,,,3.0,0.0,0.0,0.0,1.0
2580.907146115504,6.594118291461152,4.476392058640026,2023-03-07,2798.0,6.21,4.5,,,6.0,6.0,0.0,0.0,0.0,1.5
2362.19324702937,6.183379609796161,4.589910988214256,2023-03-08,2414.0,6.12,5.0,,,,0.0,0.0,0.0,1.0,0.0
2265.226792174742,6.16186643734161,5.017849768139212,2023-03-09,2545.0,6.2,5.0,,6.2,6.0,0.0,0.0,0.75,0.0,0.25
2514.5291618739416,6.124570821827307,4.654216068226048,2023-03-10,2710.0,6.2,5.0,,,,0.0,0.0,0.0,0.0,1.5
2331.3418434694263,6.6625601362768805,4.630035790858914,2023-03-11,2340.0,7.5,5.0,,,,7.0,0.0,0.0,1.0,0.0
2429.0845865348306,6.051629714621868,4.469716099891313,2023-03-12,2557.0,6.04,4.8,,,5.8,0.0,0.0,0.0,1.0,0.0
2596.913202486449,6.0020298197669675,4.411366588216678,2023-03-13,2678.0,6.08,5.0,,,,0.0,0.0,0.0,0.0,1.5
2373.1259898204025,6.130996235430208,4.6253319261813575,2023-03-14,2229.0,6.12,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2378.2550598144608,6.10143252601457,5.0148600063011886,2023-03-14,2357.0,6.2,6.0,,,,0.0,0.0,0.0,0.0,0.0
2433.940409748926,6.12445073105679,4.606318999393076,2023-03-15,2333.0,6.13,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2504.5358698758355,6.144335086793451,4.612180663943185,2023-03-16,2662.0,6.378,5.0,,,,0.0,0.0,0.0,1.0,0.0
2544.1965438612556,6.182066569881533,4.640341713977063,2023-03-17,2739.0,6.15,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2474.686208850129,6.195285863095444,5.084529020022515,2023-03-18,3035.5,6.0600000000000005,4.0,,,,0.0,0.0,0.0,0.0,0.0
2839.9261880547065,6.063432325290199,4.155056641164306,2023-03-19,3332.0,5.97,3.0,,,3.0,0.0,2.0,0.0,1.5,1.5
2729.79839592535,6.326305499326134,4.764289081634859,2023-03-20,2654.0,6.305,4.5,,,,0.0,0.0,0.0,1.5,0.0
2739.870211422668,6.418636931268753,4.9074011591453806,2023-03-21,2414.0,6.32,5.0,,,,0.0,0.0,0.0,1.0,0.0
2771.2513788587116,6.442338711402334,4.987305090130823,2023-03-22,2615.0,6.29,5.0,,,,0.0,0.0,0.0,0.0,1.0
2504.1730652821852,6.533340648725599,5.401110982931259,2023-03-23,2607.5,6.32,4.5,,,,0.0,0.0,0.0,0.0,0.0
2677.4583217407326,6.5772842705062535,4.555443876606443,2023-03-24,2600.0,6.35,4.0,,,,0.0,0.0,0.0,2.0,0.0
2939.2268487599285,6.51648285355503,4.68903516536872,2023-03-25,2895.0,6.34,4.0,,,6.0,0.0,0.0,0.0,0.0,2.0
2498.8349459857004,6.667316796723528,5.516059606463412,2023-03-26,2279.0,6.33,5.0,2279.0,6.33,5.0,0.0,0.0,0.0,0.0,0.0
2731.5651803568244,6.897229504629787,4.396563013422871,2023-03-27,2798.0,6.404,4.0,,,6.5,3.0,0.0,0.0,2.5,0.0
2847.204121449027,6.5998154337923145,5.041769176073385,2023-03-28,2918.0,6.478,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2705.8157469858,6.663063757345816,5.154366050054444,2023-03-29,2871.0,6.5520000000000005,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2506.7771758360013,6.707482256032424,5.537478139852774,2023-03-30,2749.0,6.626,5.25,,,,0.0,0.0,0.0,0.0,0.0
2499.380227039751,6.854953333002653,5.442589914428655,2023-03-31,2346.0,6.7,5.5,,,5.5,3.0,0.0,0.0,0.0,0.0
2752.4013679500376,6.698106769604655,4.618413181124845,2023-04-01,2703.0,6.62,4.0,,,6.0,3.0,0.0,0.0,0.0,2.0
2476.0835869706734,6.790896347740409,4.918053749114229,2023-04-02,2375.0,6.54,4.8,,,6.0,4.0,0.0,0.0,0.5,0.5
2599.1200350732233,6.485081790506745,4.41644492923245,2023-04-03,2498.0,6.3,4.0,,,6.0,0.0,0.0,0.0,2.0,0.0
2648.748931621322,6.45983276292294,5.08404472283828,2023-04-04,2502.0,6.0,5.5,,,6.0,0.0,0.0,0.0,0.25,0.25
2522.656549756624,6.487702937173446,5.328783045481221,2023-04-05,2646.0,6.05,5.0,,,,0.0,0.0,0.0,0.0,0.0
2481.3686467892503,6.47639066650506,5.328627496265578,2023-04-06,2556.0,6.1,5.0,,,,0.0,0.0,0.0,0.0,0.0
2585.384335987988,6.616089206859819,4.912824844192326,2023-04-07,2527.0,6.53,5.0,,,6.0,3.0,0.0,0.0,0.0,1.0
2560.0953029701213,6.6485191854657,4.3785651710705515,2023-04-08,2539.0,6.6,4.0,,,6.0,3.0,0.0,0.0,2.0,0.0
2644.591962388784,6.466752946539544,4.871670956549149,2023-04-09,2562.0,6.1,5.5,,,6.25,2.0,0.0,0.0,0.0,0.75
2564.9938240962156,6.324738079175764,4.844645904844528,2023-04-10,2522.0,6.05,5.25,,,,0.0,0.0,0.0,0.0,1.0
2511.1982172204694,6.338585448675764,4.89530004906771,2023-04-11,2431.0,6.0,5.0,,,,0.0,0.0,0.0,0.0,1.0
2444.142718807354,6.395443311312996,4.848502152940566,2023-04-12,2373.0,6.05,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2463.2571744235984,6.356423440589244,5.226353089824286,2023-04-13,2587.0,6.1,4.0,,,,0.0,0.0,0.0,0.0,0.0
2513.739463919216,6.49967065836122,4.778165417640346,2023-04-14,2113.0,6.63,5.0,,,6.0,2.0,0.0,0.0,1.0,0.0
2623.537250671301,6.286928789988043,4.8115967681802845,2023-04-15,2305.0,6.2,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2519.5827835175483,6.509581571414519,4.830090145071307,2023-04-16,2596.0,6.27,4.75,,,5.75,3.0,0.0,0.0,0.0,1.0
2536.9597584134135,6.664897163671218,4.293902597931162,2023-04-17,2288.0,6.22,4.0,,,,6.0,0.0,0.0,1.0,1.0
2299.3900170182064,6.2113839519794105,4.861057086249911,2023-04-18,2120.0,6.07,5.0,,,,0.0,0.0,0.5,0.5,0.0
2382.9531760003756,6.0708450781369345,5.172766818932067,2023-04-19,2197.0,5.9,5.0,,,6.0,0.0,2.0,0.5,0.5,0.0
2781.333448982229,6.118975536423219,4.667216462860195,2023-04-20,2448.0,6.1215,4.0,,,,0.0,0.0,0.0,0.0,2.0
2275.575015059326,6.438898772010411,5.339730786129776,2023-04-21,2016.0,6.343,5.5,,,6.0,2.0,0.0,0.5,0.0,0.0
2343.7772206060345,6.2100102532776225,5.188604579380499,2023-04-22,2227.0,5.95,5.0,,,6.0,0.0,1.0,0.5,0.5,0.0
2378.7546207783985,6.595899037410431,5.114246624151384,2023-04-23,2252.0,6.1,5.0,,,6.0,5.0,0.0,0.5,0.5,0.0
2581.621425256657,6.06489495233952,4.946435413033883,2023-04-24,2395.0,5.86,5.0,,,,0.0,2.0,0.0,1.0,0.0
2589.794313848451,6.249292744373835,5.294279293679428,2023-04-25,2644.0,5.84,5.0,,,6.0,1.0,0.0,0.0,0.0,0.0
2627.0562862112383,6.201233897017031,4.845662030532566,2023-04-26,2553.0,5.92,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2391.9375225963995,6.282167341948857,5.213623369208088,2023-04-27,2535.0,6.055,4.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2524.7386714756267,6.234559211627946,4.820502571268234,2023-04-28,2200.0,6.19,4.5,,,,0.0,0.0,0.0,0.0,1.0
2479.8912158584785,6.25103391790547,4.840737421420671,2023-04-29,2270.0,6.22,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2531.0961656506706,6.239833181128182,4.669548832023948,2023-04-30,2306.0,6.04,4.5,,,6.0,0.0,0.0,0.0,0.0,1.5
2433.3756643632732,6.268794357566429,4.865419250912606,2023-05-01,2182.0,6.02,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
2297.0198183557327,6.281222916426771,5.197513043336496,2023-05-02,2250.0,5.94,4.5,,,,0.0,0.0,0.0,0.0,0.0
2329.9565358220225,6.23006091502663,5.137578914208542,2023-05-03,1813.0,6.5,6.0,1813.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0
2336.24487498212,6.19328296200201,5.101694672837087,2023-05-04,1676.0,6.69,6.0,,,,0.0,0.0,0.0,0.0,0.0
