date,initial_ec,initial_ph,initial_nutrient_solution_volume,final_ec,final_ph,final_nutrient_solution_volume,pH_down_mL,pH_up_mL,nutrient_mature_gallons,nutrient_immature_gallons,water_gallons
4/8/2023,2539.0,6.6,4.0,unmeasured,unmeasured,6.0,3.0,0.0,0.0,2.0,0.0
4/9/2023,2562.0,6.1,5.5,unmeasured,unmeasured,6.25,2.0,0.0,0.0,0.0,0.75
4/10/2023,2522.0,,,,,,0.0,0.0,0.0,0.0,1.0
4/11/2023,2431.0,6,5.0,,,,0.0,0.0,0.0,0.0,1.0
4/12/2023,2373.0,,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,1.0,0.0
4/13/2023,2587.0,6.1,4.0,,,,,0.0,0.0,0.0,0.0
4/14/2023,2113.0,6.63,5.0,,,6.0,2.0,0.0,0.0,1.0,0.0
4/15/2023,2305.0,6.2,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,1.0
4/16/2023,2596.0,6.27,4.75,unmeasured,unmeasured,5.75,3.0,0.0,0.0,0.0,1.0
4/17/2023,2288.0,6.22,4.0,unmeasured,unmeasured,,6.0,0.0,0.0,1.0,1.0
4/18/2023,2120.0,6.07,5.0,,,,0.0,0.0,0.5,0.5,0.0
4/19/2023,2197.0,5.9,5.0,unmeasured,unmeasured,6.0,0.0,2.0,0.5,0.5,0.0
4/20/2023,2448.0,unmeasured,4.0,unmeasured,unmeasured,,0.0,0.0,0.0,0.0,2.0
4/21/2023,2016.0,6.343,5.5,,,6.0,2.0,0.0,0.5,0.0,0.0
4/22/2023,2227.0,5.95,5.0,unmeasured,unmeasured,6.0,0.0,1.0,0.5,0.5,0.0
4/23/2023,2252.0,6.1,5.0,unmeasured,unmeasured,6.0,5.0,0.0,0.5,0.5,0.0
4/24/2023,2395.0,5.86,5.0,,,,0.0,2.0,0.0,1.0,0.0
4/25/2023,2644.0,5.84,5.0,,,6.0,1.0,0.0,0.0,0.0,0.0
4/26/2023,2553.0,5.92,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,1.0
4/27/2023,2535.0,unmeasrured,4.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,0.0
4/28/2023,2200.0,6.19,,,,,0.0,0.0,0.0,0.0,1.0
4/29/2023,2270.0,6.22,5.0,unmeasured,,6.0,0.0,0.0,0.0,0.0,1.0
4/30/2023,2306.0,6.04,4.5,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,1.5
5/1/2023,2182.0,6.02,5.0,,,6.0,0.0,0.0,0.0,0.0,1.0
5/2/2023,2250.0,5.94,4.5,,,,0.0,0.0,0.0,0.0,0.0
5/3/2023,1813.0,6.5,6.0,1813,6.5,6.0,0.0,0.0,0.0,0.0,0.0
5/4/2023,1676.0,6.69,,,,,0.0,0.0,0.0,0.0,0.0
